local-authority-code,public_sector_by_wpop,transport_by_wpop,pop_density,domestic_by_pop,industry_by_gdp,commerical_by_gdp,agriculture_by_gdp
GLA,0.0002154976299641257,0.0008180341485796584,5458.178571428572,0.0011088885461464,0.003369568987807082,0.008759756870060875,5.483895847475727e-05
WMCA,0.00018129754199522154,0.0009740068406806127,3259.3425720620844,0.0012020833962332644,0.018274039935590927,0.010512959500196005,0.00015358567713309138
GMCA,0.00017843351775806592,0.0009762155158191501,2233.9498039215687,0.0012633675829839624,0.016101671094643586,0.01148246958402418,0.00038780536697764013
WYCA,0.00015715579728354381,0.0010686277946109308,1155.2881773399015,0.0013438855644611186,0.022102660533859175,0.01213904444765798,0.0006012882884333726
KEN,0.0001498133277209471,0.0011541896844541894,448.37951467268624,0.001325719881131381,0.013679684954172698,0.010574719196237084,0.004627149124324671
LCR,0.0002393268886703908,0.0010593927593225043,2136.632513661202,0.00128368449314088,0.022060067002735124,0.014975107240161463,0.0003279864440099455
CPCA,0.00013371703096220735,0.00111832180200288,235.74731934731935,0.0007649277112851862,0.019062327876020725,0.010933215307434874,0.0021866673236323364
ESS,0.0001322198425997628,0.0014925485009944152,433.1286871023713,0.001386043314247502,0.013456142832706387,0.009585416810166973,0.0027625014880189674
SCR,0.00014897880596605786,0.0011165641523094827,911.7615979381443,0.0012883879568650496,0.030249295708936266,0.015943961510605693,0.0010579422906846299
HAM,0.00013510594429405487,0.0014110638262282659,377.7069059271343,0.0013646932681342845,0.012295567754140174,0.008214212286121294,0.0019267430129733512
LAN,0.00016096301866726502,0.001200470459667462,424.00691085003456,0.001452750572774496,0.03319325395297067,0.010299684384820878,0.004343053947535745
SRY,0.00020084473829208458,0.001315496852752052,721.5093205051112,0.001544412131101216,0.00729989893639175,0.007464845335961229,0.000945786861629032
HRT,0.00015672688610158004,0.0011603557295483537,727.7370663420572,0.0013848511780778158,0.009616433329377018,0.010883710797988055,0.0008189448219804675
NECA,0.00017870676616487272,0.0012474907114599883,453.124951342935,0.0014813805179371298,0.027312516141162074,0.008923879304460494,0.0017327000227816533
BIR,0.0002919087081101965,0.0012805240448204606,4255.690298507463,0.0011685120063953283,0.01673390929107152,0.010898151936803968,0.00011963058804629554
WECA,0.00021906408037843076,0.0009920380921827016,996.8929695697797,0.0011544515649967893,0.010595698886383896,0.008555701826602395,0.0009351580361400151
NFK,0.0001286523992438086,0.0016943679453241933,169.76950222882616,0.0014056293269761545,0.028964002004553343,0.01489911796398337,0.004906430750373699
STS,0.0001354160149301077,0.0014539256583751845,337.0885496183206,0.0013960393576045998,0.02786731598857435,0.013058350109424077,0.004973636755507506
WSX,0.00012615771614936047,0.00139257432872792,435.7785032646911,0.0013730700636457496,0.015049762129423178,0.009176524593662633,0.0032512596910016247
NTCA,0.00023268798660345651,0.0013319421222561538,160.98082454458293,0.0014497526019858738,0.020598810403798424,0.012074908213288412,0.0053001990247637755
NTT,0.00011384806262944778,0.0014834873923625447,399.7011990407674,0.0014428449478822273,0.03183141911968513,0.015684898766692323,0.0025931791129530984
DEV,0.00011762026984204296,0.0015684343933671531,123.50944546008532,0.0012728826298874527,0.01938847879459344,0.009993550695547014,0.012720514734548606
DBY,0.00012193431446172851,0.0014854380930002299,316.91519434628975,0.001457579587812669,0.042598478728672354,0.011329627744627202,0.005045908163243337
LDS,0.00022116095297279532,0.0011467725721897783,1447.0760869565217,0.0013148279817681947,0.012415687779286488,0.009422136782715815,0.00035316157798717104
LIN,0.00014779835133928485,0.0015538032987318163,129.0774802088597,0.0014153114133161392,0.023421882459975764,0.011621214149256664,0.008145006675460875
SFK,0.00013700633354520977,0.0015613771673839527,200.3278947368421,0.0013732753319013011,0.024300839933543084,0.016398902807074674,0.0034397936206334288
LEC,0.00013532878805090328,0.0014092925293914707,342.33557369179067,0.001413804094689939,0.03085563418596139,0.010020115027342088,0.0035770834312984713
OXF,0.0002705016333854209,0.0015186706742164862,267.51631477927066,0.001421412779539684,0.01976082883948375,0.01074494624235158,0.002823026846893391
TVCA,0.0001832469532655736,0.0014396203007543719,851.7861635220125,0.0014022485994944856,0.05441918813874224,0.012627137147948048,0.0014382907617934502
CAM,0.00024307852591732868,0.002029839380543718,215.7596848325673,0.0013872414264033226,0.02145352241117384,0.010515380457969565,0.002573580662181687
GLS,0.00019507503315155354,0.0013204266472719708,241.48134187712023,0.0013627156150287732,0.02180673469844364,0.0080150692300878,0.004717584667837933
GLG,0.00033614180115434,0.0005996350638298936,3632.2285714285713,0.0011251162141240787,0.010102572631784839,0.011367978008786273,7.39070370646195e-05
NYE,0.0002009820394083902,0.0018257285542995026,77.21911160880926,0.0016972732358957875,0.0366350363484605,0.014888230426724339,0.011838675357342876
WOR,0.00015870827620938465,0.0013372524857294954,343.5209649626651,0.0013685711619937338,0.02054887269326864,0.008452946096703797,0.003496169562795232
SHF,0.00018143159145885134,0.0009278374265268914,1601.125,0.0012231611295253418,0.02312478751698089,0.01061979478889112,0.0004154762999747546
WAR,0.00014443108164290138,0.0016487324990287029,295.5878481012658,0.0014047989039412132,0.02076394754171219,0.011021036211127998,0.0024033419706052973
CON,0.00011064431140300988,0.0014625133581903666,161.72045133991537,0.0012644641190704584,0.02302878373774686,0.015363906651628744,0.011226025689279847
SMT,0.0001487430264167287,0.0016139850400880829,163.4350724637681,0.0012991185166152603,0.0290761858661768,0.008585643722756324,0.010447284378411454
ESX,0.00013251053725530577,0.001289204467526428,327.0052662375658,0.0014001078437527665,0.011713896001264407,0.011848301830924654,0.004592709134494805
MAN,0.000333505110327384,0.0009295769353773675,4790.870689655172,0.0010321005519176884,0.005126191710098743,0.01031739971100657,2.142412081275039e-05
BUC,0.0001528920308755224,0.00117249909471075,349.5591054313099,0.0015685532308835582,0.00794770824428353,0.008271718398644547,0.0022327626323198646
BRD,0.00015304551737774097,0.0010544270105518753,1481.224043715847,0.0013267030926029553,0.02832806302330086,0.012270998784554496,0.000694109512077676
DUR,0.00017620395383140133,0.0011595861515526927,239.50988319856245,0.0015834226748935273,0.03042200617485551,0.009016238953774075,0.0039006448465360543
EDH,0.0003020387230264473,0.0009184693333118949,2006.1596958174905,0.001285412804266596,0.006261147049539054,0.009217852906645327,0.0002316939490966068
WIL,0.00020224688992959565,0.0015716197035740293,154.86021505376345,0.0013488710734632452,0.021091642439382146,0.010228872415408579,0.008176535917197447
LIV,0.00025817943200856627,0.0011154287320574545,4468.517857142857,0.0011525343209057113,0.012824043837578339,0.012197843013328429,8.881676290084224e-05
BST,0.0002673448773711534,0.000829772381503444,4235.145454545454,0.0010865968247213713,0.006346076178910087,0.00971739243590368,0.00010748407414165086
KIR,9.085505504150148e-05,0.0008928091241417631,1078.9486552567237,0.0013768053264595623,0.03229206963879359,0.016117158568822145,0.0010026006008839186
WNT,0.00015002939470394513,0.0017899375453516119,295.3761801016703,0.0013607812546479582,0.014173493286101716,0.012217487078107502,0.0027907762315283963
BNE,0.00019908476986022,0.0008854867732326902,4586.287356321839,0.0013172202928318363,0.003221959944232668,0.008793597548524861,0.0001222543387522065
BPC,0.0001402972062858858,0.0009817282978700664,2450.5493827160494,0.0012464076886612122,0.011352137402046244,0.00969283993469447,0.0001499008078136909
CRY,0.00015627968124838607,0.0008110535011590131,4518.174418604651,0.0012918847555500252,0.0032840809520662813,0.009049134377234343,7.016158386032743e-05
CHE,0.00015881068292053797,0.0015085771656143628,331.6183533447684,0.0016756053557717109,0.020867667001491723,0.010231401096112636,0.004052567836364346
DST,0.0001278677558141242,0.0016348880099034985,152.46527498996386,0.0013973795080809898,0.015130122546638888,0.010638526780946565,0.011640461460514225
COV,0.000226615333470787,0.00091519234565778,3832.191919191919,0.001053214012269818,0.015066759679511287,0.008510916034944051,0.00011445968968207025
FIF,0.00011861107493128918,0.001163338282990979,282.3622641509434,0.0015048791965832945,0.04946245870432729,0.00921873419881793,0.003998076707727492
CRF,0.00022738532711594125,0.0013695500140659285,2618.45390070922,0.0011992487074554824,0.0173074367228571,0.007554936410713748,0.00022184343303961797
NWM,9.622361775620396e-05,0.0007452688334084768,5458.178571428572,0.0007807379336504489,0.016252650740138465,0.021601603147769603,8.027306447316356e-06
LCE,0.0002002137625924128,0.0008718136707352959,4849.808219178082,0.0011277955610376478,0.028463782118817914,0.00971188431064828,0.00012756008797513372
WKF,0.00012699691511067787,0.0011472270523093919,1037.1445427728613,0.0013132815763929676,0.03225853307128197,0.019009849807660156,0.000673480790501335
NNT,8.168093603032719e-05,0.001895314154902295,355.06382978723406,0.001368448026886375,0.03717414197093185,0.011761926637173542,0.0021174555326121695
CHW,0.00019801688201246043,0.0015288678207041183,373.72065217391304,0.0015007845391858665,0.03708176762219309,0.014892318901536545,0.003812816701244618
ERY,0.00016137285178625902,0.0016111109760055611,142.7624792013311,0.001640195919954469,0.03625178338742955,0.014310554799776717,0.012436492124807892
BFS,0.000600853887234051,0.0006722950461160915,2482.31884057971,0.00173311567265192,0.019511154881212304,0.0061188819591520595,0.0006464590292758187
NLK,0.00016294846507705543,0.0011930532920586328,725.8297872340426,0.0013889122427398375,0.02330005258346188,0.011186930760508678,0.0009461801956456489
EAL,0.00013430391120130465,0.0008947259279041194,5458.178571428572,0.0011801169330071584,0.012246688814564779,0.011177680486619709,7.290586568030326e-05
NGM,0.00043146599785215433,0.0010057021378952137,4494.64,0.0010701805896026998,0.007300418039616919,0.009221132723376926,7.330775964138106e-05
ENF,0.00012340026464329346,0.0008942131198250187,4118.358024691358,0.0011617622888924059,0.008623063994119813,0.009608783456091428,0.0001853786224574973
BRY,0.00012338388893125152,0.0008895979677267678,2218.346666666667,0.0014719204364145222,0.003038484722246238,0.008393957226201784,0.00021239784566647458
TWH,0.0002814914461963747,0.0007951650904715565,5458.178571428572,0.0006422533729680256,0.0028503507361800308,0.009625997673218353,1.1187460245051997e-05
WGN,8.835500771419083e-05,0.0009301978433484916,1759.1063829787233,0.001283149052506707,0.031315774954093434,0.013972449724351532,0.0004341495911992388
WND,0.00025810096703139364,0.0006470869745310574,5458.178571428572,0.0011539528517672862,0.003497995102997028,0.010141789580900616,2.934052074832674e-05
SAW,0.00011902426471203379,0.0009806353738213507,3826.0697674418607,0.0011846730141260608,0.030222702366610756,0.014333372911339673,5.5559744672550614e-05
BEN,0.00026167231135286695,0.000685953743233057,5458.178571428572,0.0011154807487568739,0.010188769829644912,0.010353765993493884,2.1857969628028447e-05
SHR,0.00017260459158812964,0.0016493355803414505,101.78761338755083,0.0014311275954302588,0.024229624028554858,0.011865875956284095,0.019630466535124284
WRL,0.00010815384069345991,0.0009268940430557987,2014.5093167701864,0.0013731734370323692,0.02262305032861857,0.015438142151694978,0.0004719162653811377
NBL,0.00011150739909718533,0.0015785251669195068,69.83638211382114,0.0016543512197405449,0.04404995248430826,0.009152044465182543,0.01820337074744489
DUD,0.0001393987877128602,0.0009960397244717833,3289.418367346939,0.0012984600512409377,0.021812857621987168,0.008682860572977071,9.869348565702366e-05
LBH,0.00034278798925073027,0.0007036871904178185,5458.178571428572,0.0010693747326890799,0.0024289367942050516,0.007093699820347973,3.794142411694216e-05
SLK,0.00014313200470353912,0.0008686809009519612,181.04966139954854,0.0015287077017099191,0.016639541672395106,0.01006719990220383,0.005221548897480136
SWK,0.00036813552356359207,0.0007109823216444622,5458.178571428572,0.0008766488249697291,0.0014911569113397751,0.007481772568530764,1.9428890655042402e-05
DNC,0.00013835655374154574,0.0013359163459971115,550.6778169014085,0.0013303943366934918,0.0311730273705937,0.02079890225632265,0.0019205824742526767
HIL,0.00019105403959871563,0.001533506758959841,2663.9137931034484,0.0011521941651326246,0.0041188637089254,0.01177365128129595,0.00013506127999573253
NET,0.0004105596723307362,0.0011499338790232267,2715.2566371681414,0.0012398289322758742,0.006910889957133282,0.01292799177077078,0.00016681312998634577
RDB,0.00011459709834416087,0.0008557370814298212,5458.178571428572,0.0011370404252544716,0.004732493906109383,0.006928769368560829,7.365697193595022e-05
LEW,0.0001243799506784036,0.0007971460628339068,5458.178571428572,0.0010749873505758016,0.003528300554690448,0.012936817461881255,4.1756498219942005e-05
SKP,0.00011663072689399176,0.001075655794023962,2334.8968253968255,0.0014513267889268496,0.01559096720722684,0.00850855402219976,0.0020527525414938785
CBF,0.00010512537005253945,0.0012640910086888504,410.7486033519553,0.001337352484076461,0.020465795201267834,0.01105470793258028,0.0024359296012055084
BNH,0.00019088529236516158,0.0009010977366471712,3514.9156626506024,0.0011387282932968817,0.002515914377034264,0.007955999004717705,0.00018334014134668315
GRE,0.00017873327112958418,0.0009326638915755239,5458.178571428572,0.000990092121772442,0.006730687537175113,0.012517928796367105,3.675137156371536e-05
BOL,0.00014921312190742432,0.0011783355839155552,2058.9142857142856,0.00132463630996638,0.017412443249999562,0.010614543022204598,0.00034481547304367546
SGC,0.00013007448682387216,0.001226669446897732,579.1066398390342,0.0011806182327797332,0.016966197331366437,0.006985851964574923,0.001297784017965322
WLL,0.0001208031912175859,0.0008421156742168091,2756.8846153846152,0.0012303557513646732,0.02497602161394053,0.009056892768607902,0.0002576071708846754
HCK,0.00018797122706527814,0.0005105803132300622,5458.178571428572,0.0008828683681765285,0.002667671424838027,0.009308510690973201,1.112878150656034e-05
CMD,0.0007398501924374061,0.00048071910906034013,5458.178571428572,0.000861589037898632,0.0010142745874390804,0.006664521938191701,5.377387895710691e-05
MDW,9.716403842573096e-05,0.0007679197198672321,1438.8762886597938,0.0011929128345896046,0.01447618564323276,0.0048632581783568316,0.0005392396000358469
SND,0.0001710629322191963,0.001194195151768808,2028.0729927007299,0.0014090635924550526,0.025255499948091523,0.007626489702299189,0.00020551028815183787
WFT,0.00010092334995939845,0.0007137034122763743,5458.178571428572,0.0010446609501211374,0.007629142420479342,0.008756407796728006,4.985352928932238e-05
SFT,0.0004110673025436624,0.0008226290296496022,1757.3184713375797,0.0014492997406045979,0.01334417381752568,0.022195962807231365,0.0007524203962476742
CBD,0.00014336722511204927,0.0012279238166013544,91.10092961487383,0.001643617473840501,0.03664096536691304,0.014268230887902461,0.014264894514842115
