index,cluster_no
GLA,3
WMCA,3
GMCA,3
WYCA,3
KEN,3
LCR,3
CPCA,3
ESS,2
SCR,3
HAM,2
LAN,2
SRY,2
HRT,3
NECA,2
BIR,3
WECA,3
NFK,2
STS,2
WSX,2
NTCA,2
NTT,2
DEV,2
DBY,2
LDS,3
LIN,2
SFK,2
LEC,2
OXF,2
TVCA,2
CAM,2
GLS,2
GLG,4
NYK,2
WOR,2
SHF,3
WAR,2
CON,2
SOM,2
ESX,2
MAN,4
BUC,2
BRD,3
DUR,2
EDH,4
WIL,2
LIV,3
CMA,1
BST,3
KIR,3
WNT,2
BNE,3
BPC,3
CRY,3
CHE,2
DST,2
COV,3
FIF,2
CRF,3
NWM,3
LCE,3
WKF,3
NNT,2
CHW,2
ERY,2
BFS,4
NLK,3
EAL,3
NGM,4
ENF,3
BRY,3
TWH,4
WGN,3
WND,3
SAW,3
BEN,3
SHR,1
WRL,3
NBL,1
DUD,3
LBH,4
SLK,3
SWK,4
DNC,3
HIL,3
NET,4
RDB,3
LEW,3
SKP,3
CBF,3
BNH,3
GRE,3
BOL,3
SGC,3
WLL,3
HCK,3
CMD,4
MDW,3
SND,3
WFT,3
SFT,4
HNS,3
MIK,3
WSM,4
HRY,3
ROT,3
WLV,3
PLY,3
SLF,3
ABD,1
HAV,3
KHL,3
DER,3
STE,3
STH,3
HRW,3
ESK,2
BEX,3
ISL,3
BNS,3
SWA,3
RCT,2
OLD,3
TRF,3
HLD,1
ABE,4
TAM,3
RCH,3
SWD,3
SOL,3
ABC,5
NSM,3
POR,3
BDG,3
LUT,3
CLD,3
YOR,3
WRT,3
NTY,3
STN,3
MRT,3
PTE,2
GAT,2
RIC,3
STT,2
COL,3
BAS,3
HEF,1
BUR,3
CMN,1
CHA,3
BAI,3
WLN,3
HMF,4
SOS,3
CAY,2
NMD,1
TFW,3
SHN,4
NEW,2
CHL,2
RFW,3
KTT,3
HUN,2
BAN,2
WSK,2
THR,2
BDF,3
WOK,3
MAI,3
NLN,2
SSO,2
CAT,4
WEA,2
AND,1
HAG,2
ARU,3
SCA,2
FAL,3
RDG,3
NEL,5
WBK,2
KEC,4
FLN,2
NWP,2
DAC,3
SWT,2
BRA,2
KWL,2
MSS,2
PKN,2
CHR,2
EHE,2
OXO,4
WNM,2
KIN,5
STY,3
DRS,1
SWL,3
GRT,2
BBD,3
SLG,3
SAL,3
REI,3
MUL,1
DND,4
DGY,1
LAC,3
EDE,2
BGE,2
TEN,2
LBC,2
HOR,2
CCG,1
WAW,2
NTL,2
PRE,4
SOX,2
ANN,5
SKE,2
SNO,2
IOW,3
NOW,3
ELI,2
THA,1
MDB,2
BRE,2
MEA,5
BPL,3
VAL,2
STA,2
RCC,5
ELM,2
TOB,3
WRX,1
IPS,3
EAT,3
VGL,2
TEI,2
NAY,5
NHE,2
EXE,4
POW,1
TON,3
STR,2
EPP,2
BRO,2
WYC,2
ASF,3
NUN,3
HAL,3
GLO,3
NEC,2
AMB,2
ASH,3
TES,2
PEM,1
WAE,2
HAA,3
WIN,2
GWN,2
CAB,4
BRC,3
WEW,3
EHA,2
SEG,2
NEA,2
EAY,1
CHI,2
RUS,2
SEV,2
EST,2
STO,2
TUN,3
CHO,3
DOV,3
BAE,2
GED,3
CWY,2
NKE,2
FMO,1
FAR,3
MEN,2
CHT,4
ANS,2
ERE,3
SCB,1
BRT,3
WLA,2
DAR,3
HIN,2
SHE,3
WYR,2
CRW,3
SST,2
SAY,2
WOX,2
SRI,2
WOT,3
RUG,2
SDE,2
MAS,3
EDU,3
SCE,2
CAR,2
ELN,2
DAL,2
GRA,3
LIF,2
HER,3
NNO,2
CHS,3
SLA,1
MSU,2
NWL,2
LEE,2
EAS,3
NED,2
FEN,2
BLA,3
CAN,3
WYE,3
BRM,2
WOC,3
LIC,4
WOI,3
SPE,3
GRY,3
STF,1
NDE,1
ALL,1
HAT,3
BRX,3
ROH,2
DEN,2
TEW,2
WAT,3
WLI,2
ERW,3
SHO,2
MRY,1
HAO,2
MON,1
TOF,2
RUH,3
STG,2
THE,3
HPL,2
MLN,2
UTT,2
BAB,2
HIG,5
HAS,3
PEN,2
HAE,1
SEL,5
CAS,3
RUN,4
COT,2
ECA,2
BUN,3
SUR,2
TAN,2
WDU,4
STV,3
SHA,2
ROC,3
MOL,2
HAR,3
FOE,2
RED,3
AGB,1
GOS,3
MDE,1
BOS,2
FYL,2
HYN,2
EPS,3
MAV,2
BRW,2
IVC,2
TAW,3
CGN,1
DEB,1
ROS,2
BOT,2
AGY,1
BGW,2
TOR,1
COP,2
BAR,5
NWA,2
MAL,2
ADU,3
RIB,1
MTY,3
CRA,1
OAD,3
WDE,1
RYE,1
EDN,1
RIH,1
MEL,2
CLK,5
RUT,2
ELS,1
ZET,1
ORK,1
IOS,3
